Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 25/04/2019      Découpage géographique au 01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,Médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décile,Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN13,NBPERS13,NBUC13,PMIMP13,Q113,Q213,Q313,Q3_Q1,D113,D213,D313,D413,D613,D713,D813,D913,RD,S80S2013,GI13,PTSA13,PCHO13,PBEN13,PPEN13,PAUT13
2402,Saint-Amand-Montrond,17119,35333.0,25319.6,47.0,11886.0,17456.0,23662.0,11776.0,6306.0,10440.0,13118.0,15290.0,19590.0,22106.0,25368.0,31354.0,5.0,6.6,0.3,44.1,3.2,6.7,41.4,4.6
2403,Vierzon,20952,45642.5,31895.6,49.6,12082.0,18040.0,24260.0,12178.0,5640.0,10414.0,13474.0,15886.0,20222.0,22716.0,26112.0,32120.0,5.7,7.4,0.3,51.2,3.4,4.6,37.2,3.6
2404,Chartres,103607,248008.5,166667.8,64.2,15154.0,21344.0,28696.0,13542.0,9434.0,13582.0,16512.0,18962.0,23844.0,26874.0,30962.0,38432.0,4.1,5.4,0.3,60.7,2.8,6.0,25.8,4.7
2405,Châteaudun,16140,36296.0,25018.2,55.6,13262.0,19034.0,25444.0,12182.0,7712.0,11726.0,14692.0,16950.0,21366.0,23854.0,27598.0,34578.0,4.5,6.0,0.3,49.1,2.7,8.1,34.7,5.4
2406,Dreux,43910,113860.0,74231.7,58.9,13048.0,19822.0,27314.0,14266.0,7069.0,11314.0,14566.0,17304.0,22516.0,25556.0,29516.0,36898.0,5.2,6.8,0.3,61.2,3.5,5.2,25.8,4.3
2407,Le Blanc,10205,21342.0,15212.7,46.1,12386.0,17537.0,23524.0,11138.0,7410.0,11080.0,13624.0,15538.0,19604.0,21970.0,25404.0,31972.0,4.3,5.7,0.3,45.0,2.2,7.3,40.6,4.9
2408,Issoudun,9343,20065.5,14112.2,54.5,13534.0,19078.0,25658.0,12124.0,7966.0,12112.0,14860.0,17134.0,21212.0,23976.0,27574.0,34090.0,4.3,5.9,0.3,52.9,3.0,7.2,32.0,4.9
2409,Châteauroux,79561,169876.5,119728.9,51.2,12950.0,18530.0,24992.0,12042.0,7614.0,11482.0,14192.0,16432.0,20774.0,23374.0,26962.0,33456.0,4.4,5.9,0.3,51.1,2.9,6.3,34.9,4.8
2410,Chinon,15456,34527.0,23947.2,56.3,13974.0,19818.0,27528.0,13554.0,8982.0,12608.0,15182.0,17432.0,22408.0,25506.0,29900.0,37452.0,4.2,5.5,0.3,53.4,2.7,6.9,32.4,4.6
2411,Loches,10514,22554.5,15887.5,50.1,13262.0,18490.0,25170.0,11908.0,8536.0,11992.0,14386.0,16382.0,20800.0,23536.0,27120.0,33942.0,4.0,5.3,0.3,47.9,3.0,7.4,36.0,5.7
