Revenus fiscaux localisés des ménages - Année 2008,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFiP Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle interquartile (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport interdécile,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC08,RFUCQ108,RFUCQ208,RFUCQ308,RFUCIQ08,RFUCD108,RFUCD208,RFUCD308,RFUCD408,RFUCD608,RFUCD708,RFUCD808,RFUCD908,RFUCRD08,RFUCET08,RFUCMO08,RFUCGI08
4130,41,Metz,178680.0,12300,18952,27127,14827,6610,10669,13737,16387,21773,25097,29661,38036,5.8,24949.32,22255.54,0.3699
4141,41,Bassin-Houiller,177051.4,11033,16405,22934,11901,6466,9708,12232,14369,18702,21378,24882,30871,4.8,16664.62,18488.23,0.3330
4142,41,Sarreguemines,56724.9,12494,17831,24597,12103,7768,11219,13591,15617,20153,22948,26618,33137,4.3,16622.24,20289.33,0.3243
4150,41,Sarrebourg,57156.1,12247,17331,23180,10933,7992,11066,13302,15340,19386,21754,24917,30414,3.8,17365.39,19225.41,0.3047
4160,41,Meuse-du-Nord,56083.2,11015,16147,22418,11403,6493,9814,12102,14120,18321,20890,24336,30289,4.7,13719.68,18111.69,0.3309
4171,41,Bar-le-Duc,42615.8,12042,17463,23703,11661,7463,10737,13232,15430,19668,22219,25554,31770,4.3,14119.56,19452.66,0.3173
4172,41,Commercy,30062.9,10952,16061,22119,11167,6775,9768,12086,14046,18254,20664,23804,29557,4.4,13329.83,17933.45,0.3235
4180,41,Vosges-de-l'Ouest,40916.6,11796,16875,23165,11369,7356,10649,12882,14956,19023,21605,25121,31261,4.2,19506.31,19080.52,0.3215
4191,41,Épinal,105231.7,11310,16674,22893,11583,6498,9961,12510,14622,18841,21372,24793,31077,4.8,17231.81,18845.45,0.3397
4192,41,Remiremont-Gérardmer,54303.1,12206,16798,22525,10319,7763,11027,13211,15048,18722,21018,24310,30482,3.9,20706.14,19134.53,0.3161
4193,41,Saint-Dié-des-Vosges,57644.2,11019,16049,21887,10868,6342,9669,12183,14144,18088,20419,23574,29339,4.6,14226.77,17835.36,0.3263
4271,42,Wissembourg,35477.7,14492,20413,28066,13574,9957,13189,15683,18143,23091,26071,30270,37283,3.7,15343.84,22870.12,0.2971
4276,42,Strasbourg,355040.3,12035,19199,27549,15514,6137,10271,13641,16476,22088,25467,30169,38929,6.3,28155.35,22538.54,0.3810
4284,42,Guebwiller,40847.9,14243,19769,26578,12335,9426,12932,15442,17587,22088,24876,28637,34985,3.7,15306.51,21875.31,0.2921
4285,42,Thann-Cernay,44146.8,13718,19233,25689,11971,8672,12343,14873,17018,21453,24080,27605,33856,3.9,20616.33,21259.76,0.3001
4286,42,Mulhouse,193681.2,11531,18363,26309,14778,6080,9892,13036,15736,21103,24335,28671,36430,6.0,20302.32,21063.73,0.3643
4287,42,Saint-Louis,38260.7,15132,23464,34212,19080,8583,13329,16771,20034,27143,31538,37468,47953,5.6,20610.76,27031.19,0.3505
