Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,
Zones d'emplois 2010,,Découpage géographique au 01/01/2013,,,,,Sommaire,,Documentation,,,,,,,,,,,,,,,,
©Insee,"Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,Date de première mise ligne le 02/06/2015,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,nombre de ménages fiscaux,nombre de personnes dans les ménages fiscaux,nbre d'unités de consommation dans les ménages fiscaux,Part des ménages fiscaux imposés,1er quartile,médiane,3e quartile,Ecart interquartile,1er décile,2e décile,3e décile ,4e décile ,6e décile,7e décile,8e décile ,9e décille,rapport interdécile D9/D1,S80/S20,indice de Gini,Part des salaires et traitements hors chômage,Part des indemnités chômage,Part des revenus d'activités non salariées,"Part des pensions, retraites et rentes",Part des autres revenus
CODGEO,LIBGEO,NBMEN12,NBPERS12,NBUC12,PMIMP12,Q112,Q212,Q312,Q3_Q1,D112,D212,D312,D412,D612,D712,D812,D912,RD,S80S2012,GI12,PTSA12,PCHO12,PBEN12,PPEN12,PAUT12
2406,Dreux,43588.0,113600.0,73958.8,65.0,12732.0,19420.0,26794.0,14062.0,6972.0,11090.0,14210.0,16902.0,22000.0,25020.0,29038.0,36358.0,5.2,6.9,0.3,61.4,3.5,5.3,24.5,5.3
2407,Le Blanc,10316.0,21700.0,15434.4,52.5,12148.0,17100.0,22954.0,10806.0,7406.0,10804.0,13316.0,15196.0,19050.0,21426.0,24938.0,31016.0,4.2,5.6,0.3,45.3,2.3,7.9,38.8,5.7
2408,Issoudun,9411.0,20258.5,14240.2,61.4,13248.0,18578.0,24724.0,11476.0,7936.0,11762.0,14408.0,16532.0,20666.0,23188.0,26620.0,33242.0,4.2,5.8,0.3,53.3,3.1,7.1,31.1,5.4
2409,Châteauroux,79613.0,170780.0,120147.9,57.7,12598.0,18078.0,24438.0,11840.0,7608.0,11278.0,13786.0,15974.0,20246.0,22828.0,26376.0,32696.0,4.3,5.9,0.3,51.5,2.9,6.6,33.6,5.4
2410,Chinon,15398.0,34837.0,24047.8,61.8,13494.0,19090.0,26750.0,13256.0,8524.0,12160.0,14620.0,16850.0,21640.0,24762.0,29150.0,36464.0,4.3,5.7,0.3,54.0,2.6,7.3,30.6,5.5
2411,Loches,10572.0,22925.0,16081.1,56.5,12888.0,17934.0,24468.0,11580.0,8286.0,11664.0,13882.0,15946.0,20312.0,22998.0,26586.0,33424.0,4.0,5.4,0.3,48.7,2.9,8.2,33.9,6.3
2412,Tours,227766.0,515646.5,354214.8,64.9,13958.0,20028.0,27482.0,13524.0,8392.0,12470.0,15324.0,17708.0,22542.0,25564.0,29844.0,37544.0,4.5,6.0,0.3,59.3,2.9,5.2,27.3,5.3
2413,Blois,76310.0,175258.5,119879.7,65.5,13824.0,19786.0,26942.0,13118.0,8072.0,12340.0,15130.0,17512.0,22246.0,25144.0,29148.0,36246.0,4.5,6.0,0.3,56.4,2.9,5.5,29.7,5.5
2414,Romorantin-Lanthenay,25752.0,56417.0,39432.5,59.0,12664.0,18116.0,24294.0,11630.0,7404.0,11278.0,13870.0,16104.0,20258.0,22792.0,26268.0,32594.0,4.4,5.9,0.3,48.5,3.1,5.7,37.4,5.3
2415,Vendôme,29349.0,65876.0,45522.0,62.3,13764.0,18971.0,25600.0,11836.0,8754.0,12452.0,14920.0,16970.0,21210.0,23920.0,27714.0,34690.0,4.0,5.4,0.3,51.8,3.2,8.0,31.4,5.6
2416,Gien,33403.0,75867.5,52130.6,62.4,12816.0,18820.0,25602.0,12786.0,7188.0,11272.0,14216.0,16570.0,21172.0,23870.0,27570.0,34496.0,4.8,6.3,0.3,53.7,3.2,5.7,31.9,5.5
2417,Montargis,54637.0,126684.0,86233.6,62.7,12520.0,18736.0,25524.0,13004.0,6916.0,10988.0,13946.0,16414.0,21116.0,23874.0,27652.0,34358.0,5.0,6.8,0.3,53.6,3.5,5.7,31.6,5.6
2418,Orléans,197425.0,471386.0,317023.8,69.2,14328.0,20888.0,28754.0,14426.0,8330.0,12660.0,15806.0,18394.0,23570.0,26778.0,31126.0,38834.0,4.7,6.1,0.3,61.8,2.8,4.9,25.1,5.4
2419,Pithiviers,21173.0,52521.5,34879.0,64.1,13432.0,19252.0,25968.0,12536.0,8414.0,12012.0,14704.0,17088.0,21524.0,24316.0,27932.0,34676.0,4.1,5.3,0.3,59.1,3.3,6.7,25.5,5.4
2501,Bayeux,22480.0,52076.0,35560.5,60.0,12810.0,18461.0,25032.0,12222.0,8078.0,11422.0,14020.0,16320.0,20696.0,23448.0,27152.0,34106.0,4.2,5.7,0.3,52.2,3.1,7.7,31.4,5.6
2502,Caen,194721.0,454285.0,308552.5,64.6,13692.0,19750.0,26962.0,13270.0,8140.0,12170.0,15034.0,17446.0,22204.0,25146.0,29228.0,36682.0,4.5,6.2,0.3,58.9,3.1,5.6,26.3,6.1
2503,Honfleur,24480.0,52763.5,37087.7,64.8,13268.0,19282.0,27744.0,14476.0,8104.0,11770.0,14520.0,16936.0,22122.0,25442.0,30676.0,41496.0,5.1,7.4,0.4,47.5,2.9,7.5,31.6,10.5
2504,Lisieux,29666.0,68593.0,46774.9,57.2,11766.0,17404.0,24002.0,12236.0,6598.0,10358.0,13112.0,15298.0,19724.0,22344.0,26032.0,32970.0,5.0,6.9,0.3,53.9,3.5,6.4,30.2,6.0
2505,Vire,17059.0,38824.0,26709.6,54.8,12194.0,17352.0,22898.0,10704.0,7474.0,10942.0,13317.0,15416.0,19292.0,21460.0,24612.0,30216.0,4.0,5.6,0.3,53.5,2.8,7.4,30.0,6.3
2506,Avranches,39391.0,88495.5,61178.6,55.0,12774.0,17740.0,23542.0,10768.0,8466.0,11616.0,13862.0,15832.0,19738.0,22074.0,25294.0,31054.0,3.7,5.0,0.3,51.8,2.4,8.2,31.0,6.6
2507,Cherbourg-Octeville,88111.0,202925.5,138895.5,60.3,12832.0,18520.0,25440.0,12608.0,7824.0,11454.0,14078.0,16320.0,20888.0,23700.0,27504.0,33874.0,4.3,5.8,0.3,57.7,3.1,5.8,28.4,5.0
2508,Coutances,26001.0,58655.0,40454.7,55.7,12392.0,17556.0,23948.0,11556.0,7700.0,11154.0,13490.0,15606.0,19708.0,22282.0,26004.0,32990.0,4.3,6.0,0.3,46.9,2.7,10.4,33.4,6.6
2509,Granville,23876.0,51196.0,36076.6,59.4,13384.0,18862.0,26198.0,12814.0,8570.0,12078.0,14568.0,16700.0,21244.0,24294.0,28604.0,36852.0,4.3,5.9,0.3,44.4,2.5,7.7,37.4,8.0
