Revenus fiscaux localisés des ménages - Année 2007,,,,,,,,,,,,,,,,,,,
"Indicateurs de distribution par Unité de Consommation - Seuil 50 ménages pour médiane, 2 000 habitants pour autres indicateurs",,,,,,,,,,,,,,,,,,,
Zones d'emploi,,,,,,,,,,,,,,,,,,,
© Insee     Source : Insee-DGFip Revenus fiscaux localisés des ménages ,,,,,,,,,,,,,,,,,,,
Sommaire,,,,,,,,,,,,,,,,,,,
,,,Nombre d'UC,1er quartile (€),Médiane (€),3ème quartile (€),Intervalle inter-quartiles (€),1er décile (€),2ème décile (€),3ème décile (€),4ème décile (€),6ème décile (€),7ème décile (€),8ème décile (€),9ème décile (€),Rapport inter-déciles,Ecart-type (€),Moyenne (€),Indice de Gini
ZE1990,REG,LIBGEO,NBUC07,RFUCQ107,RFUCQ207,RFUCQ307,RFUCIQ07,RFUCD107,RFUCD207,RFUCD307,RFUCD407,RFUCD607,RFUCD707,RFUCD807,RFUCD907,RFUCRD07,RFUCET07,RFUCMO07,RFUCGI07
4160,41,Meuse-du-Nord,55827.8,10669,15537,21539,10870,6277,9460,11736,13589,17642,20021,23317,29008,4.6,14014.84,17437.00,0.3312
4171,41,Bar-le-Duc,42582.0,11580,16854,22945,11365,7228,10353,12715,14852,18987,21490,24734,30731,4.3,13749.47,18779.98,0.3184
4172,41,Commercy,29823.1,10565,15532,21233,10668,6558,9466,11655,13577,17491,19881,22836,28188,4.3,12240.56,17226.90,0.3203
4180,41,Vosges-de-l'Ouest,40765.6,11431,16368,22495,11064,7211,10331,12488,14428,18467,20953,24284,30053,4.2,15644.20,18419.08,0.3185
4191,41,Épinal,104278.9,10927,16099,22137,11210,6449,9646,12078,14144,18224,20675,23918,30105,4.7,20232.24,18262.31,0.3377
4192,41,Remiremont-Gérardmer,54167.2,11831,16309,21878,10047,7547,10634,12838,14609,18179,20438,23555,29233,3.9,32063.17,18548.66,0.3160
4193,41,Saint-Dié-des-Vosges,57062.5,10681,15558,21171,10490,6270,9466,11788,13734,17527,19733,22861,28513,4.5,13169.85,17291.21,0.3229
4271,42,Wissembourg,35068.8,13945,19647,26763,12818,9641,12755,15093,17437,22081,25026,28907,35465,3.7,14457.89,21909.45,0.2929
4276,42,Strasbourg,352832.1,11694,18656,26721,15027,6009,9974,13278,16032,21423,24687,29207,37654,6.3,25225.37,21890.53,0.3799
4284,42,Guebwiller,40250.6,13786,19124,25559,11773,9274,12482,14919,17065,21378,23945,27451,33702,3.6,14065.76,21093.60,0.2887
4285,42,Thann-Cernay,43768.6,13238,18557,24778,11540,8551,11970,14363,16488,20776,23252,26650,32687,3.8,16765.85,20547.46,0.2980
4286,42,Mulhouse,192010.4,11253,17840,25375,14122,5997,9667,12737,15338,20428,23471,27649,35049,5.8,19739.44,20362.00,0.3608
4287,42,Saint-Louis,37742.5,14530,22302,32238,17709,8411,12814,16130,19142,25729,29797,35361,45115,5.4,20252.44,25670.64,0.3472
